price per unit
date,1 bedroom,2 bedrooms,3 bedrooms
2016-01-11,"$728,000.00","$968,000.00","$1,388,000.00"
2016-01-15,"$728,000.00","$968,000.00","$1,388,000.00"
2016-01-12,"$728,000.00","$968,000.00","$1,388,000.00"
2016-01-16,"$728,000.00","$968,000.00","$1,388,000.00"
2016-01-20,"$728,000.00","$968,000.00","$1,388,000.00"
2016-01-13,"$728,000.00","$968,000.00","$1,388,000.00"
2016-01-17,"$728,000.00","$968,000.00","$1,388,000.00"
2016-01-14,"$728,000.00","$968,000.00","$1,388,000.00"

price per sqm
date,1 bedroom,2 bedrooms,3 bedrooms
2016-01-11,"$13,248.59","$13,115.51","$12,217.57"
2016-01-15,"$13,248.59","$13,115.51","$12,217.57"
2016-01-12,"$13,248.59","$13,115.51","$12,217.57"
2016-01-16,"$13,248.59","$13,115.51","$12,217.57"
2016-01-20,"$13,248.59","$13,115.51","$12,217.57"
2016-01-13,"$13,248.59","$13,115.51","$12,217.57"
2016-01-17,"$13,248.59","$13,115.51","$12,217.57"
2016-01-14,"$13,248.59","$13,115.51","$12,217.57"

rate of change
date,1 bedroom,2 bedrooms,3 bedrooms
2016-01-11,0.00%,0.00%,0.00%
2016-01-15,0.00%,0.00%,0.00%
2016-01-12,0.00%,0.00%,0.00%
2016-01-16,0.00%,0.00%,0.00%
2016-01-20,0.00%,0.00%,0.00%
2016-01-13,0.00%,0.00%,0.00%
2016-01-17,0.00%,0.00%,0.00%
2016-01-14,0.00%,0.00%,0.00%
