price per unit
,1 bedroom,2 bedrooms,3 bedrooms
16/01/20,"$770,000.00","$920,000.00","$1,250,000.00"
16/01/17,"$780,000.00","$920,000.00","$1,250,000.00"
16/01/16,"$780,000.00","$920,000.00","$1,250,000.00"
16/01/15,"$780,000.00","$920,000.00","$1,250,000.00"
16/01/14,"$780,000.00","$920,000.00","$1,250,000.00"
16/01/13,"$780,000.00","$920,000.00","$1,250,000.00"
16/01/12,"$780,000.00","$920,000.00","$1,250,000.00"
16/01/11,"$780,000.00","$920,000.00","$1,250,000.00"

price per sqm
,1 bedroom,2 bedrooms,3 bedrooms
16/01/20,"$12,872.73","$11,428.57","$12,276.90"
16/01/17,"$12,000.00","$11,325.30","$12,376.24"
16/01/16,"$12,000.00","$11,325.30","$12,376.24"
16/01/15,"$12,000.00","$11,325.30","$12,376.24"
16/01/14,"$12,000.00","$11,325.30","$12,376.24"
16/01/13,"$12,000.00","$11,325.30","$12,376.24"
16/01/12,"$12,000.00","$11,325.30","$12,376.24"
16/01/11,"$12,000.00","$11,325.30","$12,376.24"

rate of change
,1 bedroom,2 bedrooms,3 bedrooms
16/01/20,-1.28%,0.00%,0.00%
16/01/17,0.00%,0.00%,0.00%
16/01/16,0.00%,0.00%,0.00%
16/01/15,0.00%,0.00%,0.00%
16/01/14,0.00%,0.00%,0.00%
16/01/13,0.00%,0.00%,0.00%
16/01/12,0.00%,0.00%,0.00%
16/01/11,0.00%,0.00%,0.00%
